Vehicle_ID,Model,Vehicle_Type,Capacity_CC_or_kWh,Manufacturing_Year,Odometer_KM,Days_Since_Last_Service,Wear_Condition
V01,Honda Activa 6G,ICE Scooter,110.0,2021,23356,53,Normal
V02,TVS Jupiter 125,ICE Scooter,125.0,2021,25840,127,Normal
V03,Bajaj Pulsar 150,ICE Motorcycle,150.0,2024,24271,16,Suspension_Wear
V04,Hero Splendor Plus,ICE Motorcycle,100.0,2022,14368,143,Normal
V05,Ather 450X,Electric Scooter,3.7,2020,18665,82,Normal
V06,TVS iQube,Electric Scooter,3.0,2019,29004,159,Bearing_Misalignment
V07,Honda Shine 125,ICE Motorcycle,125.0,2022,28918,130,Normal
V08,Suzuki Access 125,ICE Scooter,125.0,2024,30345,158,Normal
V09,Ola S1 Pro,Electric Scooter,4.0,2023,26755,84,Brake_Warp
V10,Bajaj Chetak,Electric Scooter,3.2,2022,51484,104,Normal
V11,Honda Activa 6G,ICE Scooter,110.0,2022,22418,110,Normal
V12,TVS Jupiter 125,ICE Scooter,125.0,2019,55264,142,Suspension_Wear
V13,Bajaj Pulsar 150,ICE Motorcycle,150.0,2022,50534,25,Normal
V14,Hero Splendor Plus,ICE Motorcycle,100.0,2021,17219,56,Normal
V15,Ather 450X,Electric Scooter,3.7,2021,42359,104,Normal
V16,TVS iQube,Electric Scooter,3.0,2024,35765,127,Normal
V17,Honda Shine 125,ICE Motorcycle,125.0,2020,16282,154,Normal
V18,Suzuki Access 125,ICE Scooter,125.0,2022,52601,23,Bearing_Misalignment
V19,Ola S1 Pro,Electric Scooter,4.0,2021,44216,145,Normal
V20,Bajaj Chetak,Electric Scooter,3.2,2023,30607,130,Brake_Warp
V21,Honda Activa 6G,ICE Scooter,110.0,2019,19434,118,Normal
V22,TVS Jupiter 125,ICE Scooter,125.0,2022,12423,113,Normal
V23,Bajaj Pulsar 150,ICE Motorcycle,150.0,2024,25060,124,Suspension_Wear
V24,Hero Splendor Plus,ICE Motorcycle,100.0,2022,43827,82,Normal
V25,Ather 450X,Electric Scooter,3.7,2020,26968,142,Normal
V26,TVS iQube,Electric Scooter,3.0,2022,45163,142,Normal
V27,Honda Shine 125,ICE Motorcycle,125.0,2022,16309,129,Normal
V28,Suzuki Access 125,ICE Scooter,125.0,2022,23521,52,Bearing_Misalignment
V29,Ola S1 Pro,Electric Scooter,4.0,2024,34390,22,Normal
V30,Bajaj Chetak,Electric Scooter,3.2,2022,48561,44,Normal
