Telemetry_ID,Trip_ID,Timestamp,Minute_Offset,Latitude,Longitude,Altitude_Meters,Speed_KMH,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyro_X,Gyro_Y,Gyro_Z,Phone_Mount
TEL_000001,T001,2026-08-10 16:32:00,1,12.97781,77.538898,878.3,0.0,-0.087,0.386,10.437,-3.62,9.32,10.36,Handlebar_Mount
TEL_000002,T001,2026-08-10 16:33:00,2,12.977813,77.538887,885.3,6.97,0.162,0.308,10.333,8.46,0.62,-11.33,Handlebar_Mount
TEL_000003,T001,2026-08-10 16:34:00,3,12.977824,77.538903,883.3,19.78,0.361,-0.483,10.382,4.57,13.63,53.94,Handlebar_Mount
TEL_000004,T001,2026-08-10 16:35:00,4,12.977842,77.538929,882.1,17.4,-0.639,1.6,8.615,-3.3,7.15,-6.37,Handlebar_Mount
TEL_000005,T001,2026-08-10 16:36:00,5,12.977818,77.538965,884.2,22.93,-0.536,0.35,9.295,-10.46,-23.89,5.91,Handlebar_Mount
TEL_000006,T001,2026-08-10 16:37:00,6,12.977834,77.53901,891.2,29.75,-0.081,-0.542,9.973,-2.55,-2.46,11.64,Handlebar_Mount
TEL_000007,T001,2026-08-10 16:38:00,7,12.977804,77.539054,879.5,28.18,-0.166,-0.387,9.033,-0.16,-11.19,26.21,Handlebar_Mount
TEL_000008,T001,2026-08-10 16:39:00,8,12.977822,77.539,882.3,34.73,1.009,1.059,9.221,9.31,0.12,-20.1,Handlebar_Mount
TEL_000009,T001,2026-08-10 16:40:00,9,12.977857,77.538949,882.9,32.99,1.11,0.101,9.719,17.06,-23.43,-17.33,Handlebar_Mount
TEL_000010,T001,2026-08-10 16:41:00,10,12.977827,77.538905,875.1,28.8,0.077,-0.56,10.743,9.84,-15.49,-6.02,Handlebar_Mount
TEL_000011,T001,2026-08-10 16:42:00,11,12.977845,77.538851,888.4,35.22,0.314,-0.032,10.932,-17.73,16.67,-1.1,Handlebar_Mount
TEL_000012,T001,2026-08-10 16:43:00,12,12.977884,77.538795,868.7,36.26,0.535,0.183,10.19,-6.9,9.49,-15.56,Handlebar_Mount
TEL_000013,T001,2026-08-10 16:44:00,13,12.977921,77.538741,881.2,35.31,-0.94,-0.1,9.604,8.99,25.72,-47.1,Handlebar_Mount
TEL_000014,T001,2026-08-10 16:45:00,14,12.977942,77.53868,873.2,39.96,0.063,1.34,9.507,-2.07,14.2,1.16,Handlebar_Mount
TEL_000015,T001,2026-08-10 16:46:00,15,12.97791,77.538703,889.3,30.4,0.203,0.063,9.712,-13.95,12.83,-2.62,Handlebar_Mount
TEL_000016,T001,2026-08-10 16:47:00,16,12.977943,77.53875,882.0,30.73,0.226,-0.004,9.745,4.15,18.39,-11.58,Handlebar_Mount
TEL_000017,T001,2026-08-10 16:48:00,17,12.977981,77.538695,889.3,36.06,0.332,0.01,9.551,18.21,4.87,0.76,Handlebar_Mount
TEL_000018,T001,2026-08-10 16:49:00,18,12.978019,77.538723,880.8,35.98,-0.588,0.781,9.355,-16.99,-6.31,-8.39,Handlebar_Mount
TEL_000019,T001,2026-08-10 16:50:00,19,12.978036,77.538771,877.7,31.43,-0.629,0.29,10.518,-10.56,21.98,6.89,Handlebar_Mount
TEL_000020,T001,2026-08-10 16:51:00,20,12.978051,77.538817,881.0,30.03,-0.486,1.149,10.002,2.74,22.94,1.54,Handlebar_Mount
TEL_000021,T001,2026-08-10 16:52:00,21,12.978018,77.538842,882.5,31.89,-0.46,1.085,10.012,-6.98,-8.05,-10.91,Handlebar_Mount
TEL_000022,T001,2026-08-10 16:53:00,22,12.978034,77.538865,884.9,30.77,0.826,1.638,9.661,16.49,21.06,0.95,Handlebar_Mount
TEL_000023,T001,2026-08-10 16:54:00,23,12.978052,77.538891,890.3,33.61,0.163,0.97,10.304,0.43,2.88,11.24,Handlebar_Mount
TEL_000024,T001,2026-08-10 16:55:00,24,12.978083,77.538937,879.3,29.89,0.154,1.569,10.537,7.75,7.75,-26.37,Handlebar_Mount
TEL_000025,T001,2026-08-10 16:56:00,25,12.978099,77.53896,878.5,29.57,-0.086,-0.071,10.258,-8.81,5.85,-1.05,Handlebar_Mount
TEL_000026,T001,2026-08-10 16:57:00,26,12.978065,77.538911,874.0,31.74,-0.371,-0.381,9.478,-0.86,-12.42,-11.1,Handlebar_Mount
